Time (s),Temperature (C),Pressure (bar),Thrust (N)
1.29,376.8,98.63,-28.3
1.39,376.8,98.63,-28.3
1.48,376.8,98.63,-28.3
1.57,376.8,98.63,-28.3
1.65,376.8,98.63,-28.3
1.74,376.8,98.63,-28.3
1.83,376.8,98.63,-28.3
1.92,376.8,98.63,-28.3
2.01,376.8,98.63,-28.3
2.1,376.8,98.63,-28.3
2.18,376.8,98.63,-28.3
2.27,376.8,98.63,-28.3
2.36,376.8,98.63,-28.3
2.45,376.8,98.63,-28.3
2.54,376.8,98.63,-28.3
2.62,376.8,98.63,-28.3
2.71,376.8,98.63,-28.3
2.8,376.8,98.63,-28.3
2.89,376.8,98.63,-28.28
2.98,376.8,98.63,-28.28
3.07,376.8,98.63,-28.28
3.15,376.8,98.63,-28.29
3.24,376.8,98.63,-28.29
3.33,376.8,98.63,-28.29
3.42,376.8,98.63,-28.3
3.51,376.8,98.63,-28.29
3.6,376.8,98.63,-28.3
3.68,376.8,98.63,-28.3
3.77,376.8,98.63,-28.29
3.86,376.8,98.63,-28.29
3.95,376.8,98.63,-28.29
4.04,376.8,98.63,-28.29
4.12,376.8,98.63,-28.29
4.21,376.8,98.63,-28.29
4.3,376.8,98.63,-28.3
4.39,376.8,98.63,-28.29
4.48,376.8,98.63,-28.29
4.57,376.8,98.63,-28.29
4.65,376.8,98.63,-28.29
4.74,376.8,98.63,-28.28
4.83,376.8,98.63,-28.28
4.92,376.8,98.63,-28.28
5.01,376.8,98.63,-28.28
5.09,376.8,98.63,-28.28
5.18,376.8,98.63,-28.29
5.27,376.8,98.63,-28.3
5.36,376.8,98.63,-28.29
5.45,376.8,98.63,-28.29
5.53,376.8,98.63,-28.28
5.62,376.8,98.63,-28.28
5.71,376.8,98.63,-28.29
6.8,376.8,1.0,-28.28
6.81,376.8,1.0,-28.28
6.86,376.8,1.0,-28.28
6.95,376.8,1.0,-28.28
7.03,376.8,1.0,-28.28
7.12,376.8,1.0,-28.29
7.21,376.8,1.0,-28.28
7.3,376.8,1.0,-28.28
7.39,376.8,1.0,-28.28
7.48,376.8,1.0,-28.28
7.57,376.8,1.0,-28.29
7.65,376.8,1.0,-28.28
7.74,376.8,1.0,-28.28
7.83,376.8,1.0,-28.28
7.92,376.8,1.0,-28.28
8.01,376.8,1.0,-28.29
8.09,376.8,1.0,-28.28
8.18,376.8,1.0,-28.28
8.27,376.8,1.0,-28.28
8.36,376.8,1.0,-28.28
8.45,376.8,1.0,-28.28
8.53,376.8,1.0,-28.28
8.62,376.8,1.0,-28.28
8.71,376.8,1.0,-28.27
8.8,376.8,1.0,-28.28
8.89,376.8,1.0,-28.29
8.98,376.8,1.0,-28.28
9.06,376.8,1.0,-28.28
9.15,376.8,1.0,-28.28
9.24,376.8,1.0,-28.27
9.33,376.8,1.0,-28.27
9.42,376.8,1.0,-28.27
9.51,376.8,1.0,-28.27
9.59,376.8,1.0,-28.27
9.68,376.8,1.0,-28.28
9.77,376.8,1.0,-28.28
9.86,376.8,1.0,-28.27
9.95,376.8,1.0,-28.28
10.03,376.8,1.0,-28.28
10.12,376.8,1.0,-28.28
10.21,376.8,1.0,-28.27
10.3,376.8,1.0,-28.28
10.39,376.8,1.0,-28.28
10.48,376.8,1.0,-28.27
10.56,376.8,1.0,-28.28
10.65,376.8,1.0,-28.28
10.74,376.8,1.0,-28.28
10.83,376.8,1.0,-28.28
10.92,376.8,1.0,-28.28
11.01,376.8,1.0,-28.28
